1621578524.26653504,2158,455342.26653504,22.30155820,114.19031551,-1.90032923,60.57864981,-1.24901704,2.82136964,0.10232047,0.46656837,-4.94328092
1621578524.66697311,2158,455342.66697311,22.30155825,114.19031557,-1.89621611,60.57945012,-1.25385427,2.81894690,0.10890119,0.47287894,-4.93916780
1621578525.06725836,2158,455343.06725836,22.30155820,114.19031555,-1.89160515,60.58736311,-1.26042141,2.82091561,0.10679064,0.46733138,-4.93455684
1621578525.46791840,2158,455343.46791840,22.30155819,114.19031560,-1.89029694,60.58298972,-1.26093276,2.81711428,0.11130653,0.46640376,-4.93324864
1621578525.86757541,2158,455343.86757541,22.30155816,114.19031559,-1.89312020,60.59102571,-1.25439625,2.79182040,0.11060949,0.46262966,-4.93607189
1621578526.26813793,2158,455344.26813793,22.30155813,114.19031556,-1.89086188,60.57586618,-1.27860685,2.81263222,0.10750183,0.45966438,-4.93381358
1621578526.66865182,2158,455344.66865182,22.30155817,114.19031551,-1.89801437,60.60223263,-1.25733200,2.81252596,0.10190646,0.46326988,-4.94096606
1621578527.06888437,2158,455345.06888437,22.30155827,114.19031553,-1.89730099,60.60014741,-1.26055679,2.79833376,0.10409092,0.47433759,-4.94025268
1621578527.46939707,2158,455345.46939707,22.30155821,114.19031552,-1.89721884,60.58453207,-1.25379446,2.80283270,0.10343976,0.46836734,-4.94017054
1621578527.86950541,2158,455345.86950541,22.30155819,114.19031551,-1.89713607,60.58697117,-1.26170077,2.82629604,0.10201136,0.46535429,-4.94008777
1621578528.26978779,2158,455346.26978779,22.30155824,114.19031550,-1.89463624,60.58789834,-1.26115111,2.82161021,0.10150771,0.47121796,-4.93758794
1621578528.67022276,2158,455346.67022276,22.30155828,114.19031548,-1.89487427,60.73955609,-1.25078589,2.80455655,0.09942718,0.47628296,-4.93782596
1621578529.07078218,2158,455347.07078218,22.30155838,114.19031521,-1.89184910,61.20229260,-1.29258389,2.78919146,0.07127425,0.48695696,-4.93480079
1621578529.47105455,2158,455347.47105455,22.30155867,114.19031440,-1.88521063,62.46535577,-1.36697783,2.78314338,-0.01183137,0.51864412,-4.92816233
1621578529.87152529,2158,455347.87152529,22.30155916,114.19031296,-1.87257744,64.66358850,-1.47368211,2.72290136,-0.16005733,0.57300500,-4.91552914
1621578530.27140856,2158,455348.27140856,22.30155988,114.19031098,-1.86079340,67.58001184,-1.60417459,2.64974952,-0.36410913,0.65330078,-4.90374512
1621578530.67193413,2158,455348.67193413,22.30156058,114.19030859,-1.85098052,71.27405693,-1.76153946,2.55147690,-0.61025491,0.73065393,-4.89393227
1621578530.97235727,2158,455348.97235727,22.30156108,114.19030631,-1.84884658,74.33335014,-1.87792733,2.47410811,-0.84568739,0.78545725,-4.89179836
